from,to,region
0,109999,Нижегородская обл.
130000,199999,Нижегородская обл.
200000,259999,Забайкальский край
260000,289999,Ивановская обл.
290000,299999,Калининградская обл.
300000,339999,Калужская обл.
340000,359999,Камчатский край
360000,369999,Карачаево-Черкесская Республика
370000,449999,Кемеровская обл.
450000,479999,Кировская обл.
480000,499999,Костромская обл.
500000,519999,Краснодарский край
520000,569999,Красноярский край
570000,599999,Курская обл.
600000,609999,Липецкая обл.
610000,619999,Магаданская обл.
620000,649999,Мурманская обл.
650000,669999,Нижегородская обл.
670000,709999,Новгородская обл.
710000,739999,Новосибирская обл.
740000,779999,Омская обл.
780000,789999,Оренбургская обл.
790000,799999,Орловская обл.
800000,819999,Пензенская обл.
820000,859999,Пермский край
860000,899999,Приморский край
900000,919999,Псковская обл.
920000,959999,Рязанская обл.
960000,999999,Смоленская обл.
1000000,1089999,Республика Башкортостан
1090000,1099999,Республика Бурятия
1100000,1109999,Республика Калмыкия
1110000,1129999,Республика Карелия
1130000,1149999,Республика Коми
1150000,1179999,Республика Марий Эл
1180000,1199999,Республика Мордовия
1200000,1209999,Республика Саха /Якутия/
1210000,1259999,Республика Татарстан
1260000,1269999,Республика Хакасия
1270000,1279999,Ростовская обл.
1280000,1299999,Саратовская обл.
1300000,1309999,Свердловская обл.
1310000,1329999,Тамбовская обл.
1330000,1379999,Тверская обл.
1380000,1389999,Чувашская Республика
1390000,1399999,Чукотский АО
1400000,1499999,Тюменская обл.
1500000,1599999,Ульяновская обл.
1600000,1699999,Орловская обл.
1700000,1899999,Свердловская обл.
1900000,1999999,Владимирская обл.
2000000,2049999,Саратовская обл.
2050000,2099999,Томская обл.
2100000,2159999,Тюменская обл.
2160000,2189999,Удмуртская Республика
2190000,2229999,Ульяновская обл.
2230000,2279999,Ханты - Мансийский - Югра АО
2280000,2379999,Челябинская обл.
2380000,2439999,Ярославская обл.
2999000,2999999,Саратовская обл.
3000000,3029999,р-ны Абзелиловский и Белорецкий|р-ны Абзелиловский и Белорецкий
3030000,3049999,Алтайский край
3050000,3069999,Астраханская обл.
3070000,3089999,Белгородская обл.
3090000,3099999,Вологодская обл.
3100000,3109999,Еврейская автономная обл.
3110000,3149999,Забайкальский край
3150000,3199999,Республика Саха /Якутия/
3200000,3229999,Тюменская обл.
3230000,3259999,Пермский край
3260000,3299999,Ханты - Мансийский - Югра АО
3300000,3309999,Кабардино-Балкарская Республика
3310000,3349999,Кемеровская обл.
