from,to,region
0,99999,Республика Татарстан
100000,149999,Республика Мордовия
150000,599999,Республика Башкортостан
600000,699999,Республика Татарстан
700000,799999,Пензенская обл.
800000,899999,Нижегородская обл.
900000,1099999,Республика Башкортостан
1100000,1149999,Нижегородская обл.
1150000,1199999,Оренбургская обл.
1200000,1299999,Чувашская Республика - Чувашия
1300000,1499999,Республика Башкортостан
1500000,1699999,Самарская обл.
1700000,1899999,Республика Татарстан
1900000,2049999,Оренбургская обл.
2050000,2399999,Республика Татарстан
2400000,2599999,Республика Башкортостан
2600000,2999999,Республика Татарстан
3000000,3399999,Саратовская обл.
3400000,3499999,Оренбургская обл.
3500000,3899999,Саратовская обл.
3900000,3999999,Нижегородская обл.
4000000,4299999,Республика Татарстан
4300000,4649999,Самарская обл.
4650000,4999999,Республика Башкортостан
5000000,5299999,Пензенская обл.
5300000,5599999,Нижегородская обл.
5600000,5649999,Саратовская обл.
5650000,5749999,Республика Мордовия
5750000,5799999,Чувашская Республика - Чувашия
5800000,6299999,Республика Башкортостан
6300000,6399999,Ульяновская обл.
6400000,6599999,Волгоградская обл.
6600000,6799999,Чувашская Республика - Чувашия
6800000,6849999,Республика Мордовия
6850000,6899999,Ульяновская обл.
6900000,6999999,Республика Мордовия
7000000,7349999,Республика Марий Эл
7350000,7399999,Чувашская Республика - Чувашия
7400000,7599999,Нижегородская обл.
7600000,7699999,Чувашская Республика - Чувашия
7700000,7999999,Оренбургская обл.
8000000,8149999,Саратовская обл.
8150000,8199999,Самарская обл.
8200000,8399999,Саратовская обл.
8400000,8999999,Оренбургская обл.
9000000,9899999,Самарская обл.
9900000,9999999,Республика Мордовия
