from,to,region
0,1126,Курганская обл.
1127,1127,Курганская обл.
1128,1253,Курганская обл.
1254,1254,Курганская обл.
1255,1259,Курганская обл.
1260,1260,Курганская обл.
1261,1568,Курганская обл.
1569,1569,Курганская обл.
1570,1694,Курганская обл.
1695,1695,Курганская обл.
1696,1756,Курганская обл.
1757,1757,Курганская обл.
1758,1877,Курганская обл.
1878,1878,Курганская обл.
1879,3249,Курганская обл.
3250,3250,Курганская обл.
3251,3662,Курганская обл.
3663,3665,Курганская обл.
3666,3666,Курганская обл.
3667,3670,Курганская обл.
3671,3687,Курганская обл.
3688,3688,Курганская обл.
3689,3928,Курганская обл.
3929,3929,Курганская обл.
3930,3945,Курганская обл.
3946,3946,Курганская обл.
3947,13907,Курганская обл.
13908,13908,Курганская обл.
13909,15907,Курганская обл.
15908,15908,Курганская обл.
15909,27093,Курганская обл.
27094,27094,Курганская обл.
27095,33907,Курганская обл.
33908,33908,Курганская обл.
33909,36409,Курганская обл.
36410,36410,Курганская обл.
36411,36411,Курганская обл.
36412,36412,Курганская обл.
36413,36528,Курганская обл.
36529,36529,Курганская обл.
36530,36536,Курганская обл.
36537,36538,Курганская обл.
36539,36544,Курганская обл.
36545,36545,Курганская обл.
36546,37305,Курганская обл.
37306,37306,Курганская обл.
37307,37552,Курганская обл.
37553,37553,Курганская обл.
37554,38809,Курганская обл.
38810,38810,Курганская обл.
38811,42403,Курганская обл.
42404,42404,Курганская обл.
42405,42433,Курганская обл.
42434,42434,Курганская обл.
42435,48164,Курганская обл.
48165,48165,Курганская обл.
48166,48558,Курганская обл.
48559,48559,Курганская обл.
48560,48766,Курганская обл.
48767,48767,Курганская обл.
48768,48855,Курганская обл.
48856,48856,Курганская обл.
48857,49878,Курганская обл.
49879,49879,Курганская обл.
49880,49880,Курганская обл.
49881,49881,Курганская обл.
49882,49888,Курганская обл.
49889,49889,Курганская обл.
49890,50005,Курганская обл.
50006,50006,Курганская обл.
50007,50100,Курганская обл.
50101,50101,Курганская обл.
50102,50201,Курганская обл.
50202,50202,Курганская обл.
50203,50519,Курганская обл.
50520,50520,Курганская обл.
50521,50915,Курганская обл.
50916,50916,Курганская обл.
50917,51176,Курганская обл.
51177,51177,Курганская обл.
51178,51211,Курганская обл.
51212,51212,Курганская обл.
51213,51230,Курганская обл.
51231,51231,Курганская обл.
51232,51388,Курганская обл.
51389,51389,Курганская обл.
51390,51416,Курганская обл.
51417,51417,Курганская обл.
51418,52008,Курганская обл.
52009,52009,Курганская обл.
52010,52217,Курганская обл.
52218,52218,Курганская обл.
52219,52532,Курганская обл.
52533,52533,Курганская обл.
52534,52542,Курганская обл.
52543,52543,Курганская обл.
52544,52548,Курганская обл.
52549,52549,Курганская обл.
52550,52550,Курганская обл.
52551,52551,Курганская обл.
52552,52552,Курганская обл.
52553,52554,Курганская обл.
52555,52557,Курганская обл.
52558,52559,Курганская обл.
52560,52561,Курганская обл.
52562,52562,Курганская обл.
52563,52756,Курганская обл.
52757,52757,Курганская обл.
52758,53029,Курганская обл.
53030,53030,Курганская обл.
53031,53270,Курганская обл.
53271,53271,Курганская обл.
53272,53273,Курганская обл.
53274,53275,Курганская обл.
53276,53291,Курганская обл.
53292,53292,Курганская обл.
53293,54039,Курганская обл.
54040,54040,Курганская обл.
54041,54721,Курганская обл.
