from,to,region
0,199999,Новосибирская обл.
200000,299999,Алтайский край
300000,499999,Красноярский край
500000,599999,Республика Хакасия
600000,699999,Новосибирская обл.
700000,799999,Кемеровская обл.
800000,999999,Алтайский край
1000000,1199999,Томская обл.
1200000,1399999,Кемеровская обл.
1400000,1599999,Омская обл.
1600000,1999999,Красноярский край
2000000,2099999,Новосибирская обл.
2100000,2799999,Алтайский край
2800000,3399999,Кемеровская обл.
3400000,3599999,Республика Тыва
3600000,3699999,Алтайский край
3700000,3999999,Новосибирская обл.
4000000,4399999,Кемеровская обл.
4400000,4499999,Республика Хакасия
4500000,4899999,Новосибирская обл.
4900000,5399999,Красноярский край
5400000,5499999,Республика Хакасия
5500000,5999999,Красноярский край
6000000,6899999,Омская обл.
6900000,6999999,Республика Алтай
7000000,7999999,Новосибирская обл.
8000000,8299999,Томская обл.
8300000,8399999,Красноярский край
8400000,8599999,Томская обл.
8600000,8799999,Томская обл.
8800000,8899999,Томская обл.
8900000,9599999,Новосибирская обл.
9600000,9799999,Омская обл.
9800000,9879999,Новосибирская обл.
9880000,9889999,Омская обл.
9890000,9899999,Новосибирская обл.
9900000,9999999,Республика Алтай
