from,to,region
0,99999,Свердловская обл.
100000,199999,Чувашская Республика
200000,279999,Пензенская обл.
280000,349999,Республика Мордовия
350000,389999,Алтайский край
390000,589999,Свердловская обл.
590000,689999,Кемеровская обл.
690000,1189999,Краснодарский край
1190000,1199999,Воронежская обл.
1200000,1299999,Тамбовская обл.
1300000,1399999,Кировская обл.
1400000,1799999,г. Санкт-Петербург и Ленинградская область
1800000,1999999,Тульская обл.
2000000,2299999,Приморский край
2300000,2549999,Псковская область
2550000,2599999,Республика Хакасия
2600000,2699999,Архангельская обл.
2700000,2999999,Брянская обл.
3000000,3099999,Мурманская обл.
3100000,3399999,Калужская обл.
3400000,3799999,г. Санкт-Петербург и Ленинградская область
3800000,3899999,Свердловская обл.
3900000,3999999,Омская обл.
4000000,4099999,Республика Татарстан
4100000,4109999,г. Санкт-Петербург и Ленинградская область
4110000,4110999,Красноярский край
4111000,4113999,Республика Тыва
4114000,4114999,Красноярский край
4115000,4119999,Удмуртская Республика
4120000,4129999,Республика Татарстан
4130000,4149999,Орловская обл.
4150000,4159999,Нижегородская обл.
4160000,4189999,Орловская обл.
4190000,4439999,Тульская обл.
4440000,4479999,Пензенская обл.
4480000,4499999,Чувашская Республика
4500000,4599999,Оренбургская обл.
4600000,4699999,Калужская обл.
4700000,4799999,Орловская обл.
4800000,4999999,Республика Татарстан
5000000,5249999,Вологодская область
5250000,5499999,Республика Карелия
5500000,5799999,Нижегородская обл.
5800000,5999999,Красноярский край
6000000,6099999,Свердловская обл.
6100000,6299999,Орловская обл.
6300000,6399999,Саратовская обл.
6400000,6699999,Костромская обл.
6700000,6999999,Кировская обл.
7000000,7299999,Тамбовская обл.
7300000,7499999,Рязанская обл.
7500000,7599999,Мурманская обл.
7600000,8099999,Новосибирская обл.
8100000,8199999,Орловская обл.
8200000,8202428,Свердловская обл.
8202429,8202432,Свердловская обл.
8202433,8204528,Свердловская обл.
8204529,8204529,Свердловская обл.
8204530,8204530,Свердловская обл.
8204531,8204533,Свердловская обл.
8204534,8204653,Свердловская обл.
8204654,8204654,Свердловская обл.
8204655,8205069,Свердловская обл.
8205070,8205070,Свердловская обл.
8205071,8205084,Свердловская обл.
8205085,8205085,Свердловская обл.
8205086,8205087,Свердловская обл.
8205088,8205088,Свердловская обл.
8205089,8205162,Свердловская обл.
8205163,8205163,Свердловская обл.
8205164,8205276,Свердловская обл.
8205277,8205277,Свердловская обл.
8205278,8205284,Свердловская обл.
8205285,8205285,Свердловская обл.
8205286,8222127,Свердловская обл.
8222128,8222128,Свердловская обл.
8222129,8222599,Свердловская обл.
8222600,8222600,Свердловская обл.
8222601,8222799,Свердловская обл.
8222800,8222800,Свердловская обл.
8222801,8227450,Свердловская обл.
8227451,8227451,Свердловская обл.
8227452,8227507,Свердловская обл.
8227508,8227508,Свердловская обл.
8227509,8227544,Свердловская обл.
8227545,8227545,Свердловская обл.
8227546,8227854,Свердловская обл.
8227855,8227855,Свердловская обл.
8227856,8227856,Свердловская обл.
8227857,8227857,Свердловская обл.
8227858,8227860,Свердловская обл.
8227861,8227861,Свердловская обл.
8227862,8227862,Свердловская обл.
8227863,8227863,Свердловская обл.
8227864,8227891,Свердловская обл.
8227892,8227894,Свердловская обл.
8227895,8227902,Свердловская обл.
8227903,8227904,Свердловская обл.
8227905,8227906,Свердловская обл.
8227907,8227908,Свердловская обл.
8227909,8227915,Свердловская обл.
8227916,8227916,Свердловская обл.
8227917,8227919,Свердловская обл.
8227920,8227920,Свердловская обл.
8227921,8227921,Свердловская обл.
8227922,8228061,Свердловская обл.
8228062,8228062,Свердловская обл.
8228063,8230563,Свердловская обл.
8230564,8230564,Свердловская обл.
8230565,8232473,Свердловская обл.
8232474,8232474,Свердловская обл.
8232475,8232821,Свердловская обл.
8232822,8232822,Свердловская обл.
8232823,8237792,Свердловская обл.
8237793,8237793,Свердловская обл.
8237794,8238129,Свердловская обл.
8238130,8238130,Свердловская обл.
8238131,8240452,Свердловская обл.
8240453,8240453,Свердловская обл.
8240454,8240470,Свердловская обл.
8240471,8240471,Свердловская обл.
8240472,8284853,Свердловская обл.
8284854,8284855,Свердловская обл.
8284856,8284858,Свердловская обл.
8284859,8284859,Свердловская обл.
8284860,8284908,Свердловская обл.
8284909,8284909,Свердловская обл.
8284910,8284953,Свердловская обл.
8284954,8284954,Свердловская обл.
8284955,8284961,Свердловская обл.
8284962,8284963,Свердловская обл.
8284964,8285130,Свердловская обл.
8285131,8285131,Свердловская обл.
8285132,8285151,Свердловская обл.
8285152,8285152,Свердловская обл.
8285153,8285202,Свердловская обл.
8285203,8285203,Свердловская обл.
8285204,8285209,Свердловская обл.
8285210,8285210,Свердловская обл.
8285211,8285268,Свердловская обл.
8285269,8285269,Свердловская обл.
8285270,8285277,Свердловская обл.
8285278,8285278,Свердловская обл.
8285279,8285311,Свердловская обл.
8285312,8285312,Свердловская обл.
8285313,8285315,Свердловская обл.
8285316,8285316,Свердловская обл.
8285317,8285320,Свердловская обл.
8285321,8285321,Свердловская обл.
8285322,8285333,Свердловская обл.
8285334,8285334,Свердловская обл.
8285335,8285361,Свердловская обл.
8285362,8285362,Свердловская обл.
