from,to,region
0,9999,г. Москва и Московская область
1000000,1009999,Новосибирская обл.
1600000,1679999,Алтайский край
2000000,2009999,Красноярский край
3000000,3009999,Кемеровская обл.
3010000,3014999,Красноярский край
3015000,3049999,Омская обл.
3100000,3119999,Алтайский край
3120000,3129999,Республика Хакасия
3140000,3149999,Республика Тыва
3200000,3419999,Красноярский край
4400000,4499999,Омская обл.
7770000,7779999,г. Москва и Московская область
8880000,8889999,г. Москва и Московская область
9300000,9359999,Алтайский край
9915000,9939999,Омская обл.
9940000,9999999,Красноярский край
