from,to,region
0,299999,Самарская обл.
300000,499999,Республика Татарстан
500000,599999,Саратовская обл.
600000,699999,Волгоградская обл.
700000,799999,Астраханская обл.
800000,899999,Республика Башкортостан
900000,999999,Пензенская обл.
1000000,1109999,Саратовская обл.
1110000,1119999,Самарская обл.
1120000,1699999,Саратовская обл.
1700000,1999999,Республика Мордовия
2000000,2199999,Самарская обл.
2200000,2299999,Саратовская обл.
2300000,2399999,Республика Башкортостан
2400000,2499999,Республика Татарстан
2500000,2599999,Волгоградская обл.
2600000,2699999,Самарская обл.
2700000,2739999,Ульяновская обл.
2740000,2769999,Республика Мордовия
2770000,2799999,Саратовская обл.
2800000,2829999,Астраханская обл.
2830000,2839999,Республика Калмыкия
2840000,2859999,Астраханская обл.
2860000,2899999,Пензенская обл.
2900000,2999999,Самарская обл.
3000000,3599999,Республика Башкортостан
3600000,3999999,Пензенская обл.
4000000,4999999,Республика Татарстан
5000000,5499999,Волгоградская обл.
5500000,5899999,Астраханская обл.
5900000,5999999,Республика Калмыкия
6000000,6199999,Самарская обл.
6200000,6299999,Саратовская обл.
6300000,6349999,Ульяновская обл.
6350000,6399999,Республика Башкортостан
6400000,6449999,Республика Мордовия
6450000,6479999,Республика Калмыкия
6480000,6499999,Пензенская обл.
6500000,6599999,Самарская обл.
6600000,6649999,Астраханская обл.
6650000,6699999,Чувашская Республика
6700000,6799999,Республика Татарстан
6800000,6849999,Республика Марий Эл
6850000,7999999,Самарская обл.
8000000,8399999,Ульяновская обл.
8400000,8699999,Чувашская Республика
8700000,8899999,Республика Марий Эл
8900000,9099999,Самарская обл.
9100000,9199999,Саратовская обл.
9200000,9699999,Республика Башкортостан
9700000,9799999,Республика Мордовия
9800000,9899999,Ульяновская обл.
9900000,9999999,Чувашская Республика
