from,to,region
0,44999,г. Москва и Московская область
45000,99999,г. Санкт-Петербург и Ленинградская область
100000,102999,Еврейская автономная обл.
103000,199999,г. Москва и Московская область
200000,202999,Камчатский край
203000,299999,г. Санкт-Петербург и Ленинградская область
300000,302999,Магаданская обл.
303000,399999,г. Санкт-Петербург и Ленинградская область
400000,409999,Приморский край
410000,549999,г. Санкт-Петербург и Ленинградская область
550000,554999,Самарская область
555000,559999,Пензенская область
560000,569999,Ивановская обл.
570000,599999,Приморский край
600000,602999,Республика Саха /Якутия/
603000,699999,г. Санкт-Петербург и Ленинградская область
700000,702999,Сахалинская обл.
703000,709999,Владимирская обл.
710000,799999,Нижегородская обл.
800000,809999,Хабаровский край
810000,819999,Костромская обл.
820000,899999,Хабаровский край
900000,902999,Чукотский АО
903000,915999,Архангельская область и Ненецкий автономный округ
916000,922999,Мурманская обл.
923000,930999,Калининградская обл.
931000,937999,Новгородская обл.
938000,944999,Псковская обл.
945000,949999,Республика Карелия
950000,970999,г. Москва и Московская область
971000,985999,Вологодская обл.
986000,988999,Владимирская обл.
989000,999999,г. Москва и Московская область
1000000,1009999,Кировская обл.
1010000,1019999,Костромская обл.
1020000,1029999,Новгородская обл.
1030000,1039999,Псковская обл.
1040000,1049999,Смоленская обл.
1050000,1064999,Оренбургская обл.
1065000,1089999,Ярославская обл.
1090000,1099999,Оренбургская обл.
1100000,1109999,Пензенская обл.
1110000,1149999,г. Москва и Московская область
1150000,1159999,Пермский край
1160000,1199999,г. Санкт-Петербург и Ленинградская область
1200000,1219999,Нижегородская обл.
1220000,1229999,г. Санкт-Петербург и Ленинградская область
1230000,1239999,Пермский край
1240000,1249999,Республика Тыва
1250000,1269999,Пермский край
1270000,1299999,Чеченская Республика
1300000,1349999,Республика Башкортостан
1350000,1359999,г. Санкт-Петербург и Ленинградская область
1360000,1419999,Нижегородская обл.
1420000,1449999,Чеченская Республика
1450000,1459999,Республика Марий Эл
1460000,1479999,Архангельская область и Ненецкий автономный округ
1480000,1499999,Калининградская обл.
1500000,1502999,Республика Мордовия
1503000,1517999,Тверская обл.
1518000,1532999,Республика Карелия
1533000,1547999,Мурманская обл.
1548000,1549999,Республика Мордовия
1550000,1579999,Республика Татарстан
1580000,1589999,Самарская обл.
1590000,1599999,Смоленская обл.
1600000,1609999,Тверская обл.
1610000,1619999,Ярославская обл.
1620000,1649999,Республика Татарстан
1650000,1669999,Амурская обл.
1670000,1679999,Псковская обл.
1680000,1689999,Архангельская область и Ненецкий автономный округ
1690000,1699999,Республика Татарстан
1700000,1729999,Самарская обл.
1730000,1749999,Республика Саха /Якутия/
1750000,1759999,Еврейская автономная обл.
1760000,1769999,Ханты - Мансийский - Югра АО
1770000,1772999,Республика Карелия
1773000,1782999,Томская обл.
1783000,1785999,Республика Калмыкия
1786000,1791999,Республика Хакасия
1792000,1799999,Республика Тыва
1800000,1802999,Саратовская обл.
1803000,1812999,Ивановская обл.
1813000,1837999,г. Санкт-Петербург и Ленинградская область
1838000,1849999,Саратовская обл.
1850000,1852999,Удмуртская Республика
1853000,1887999,г. Санкт-Петербург и Ленинградская область
1888000,1899999,Удмуртская Республика
1900000,1902999,Ульяновская обл.
1903000,1937999,Вологодская обл.
1938000,1949999,Ульяновская обл.
1950000,1952999,Чувашская Республика
1953000,1989999,г. Санкт-Петербург и Ленинградская область
1990000,1999999,Чувашская Республика
2000000,2199999,г. Санкт-Петербург и Ленинградская область
2200000,2201999,Ярославская обл.
2202000,2202999,г. Санкт-Петербург и Ленинградская область
2203000,2211999,Брянская обл.
2212000,2233999,г. Санкт-Петербург и Ленинградская область
2234000,2238999,Республика Хакасия
2239000,2243999,Новгородская обл.
2244000,2249999,Смоленская обл.
2250000,2250999,г. Санкт-Петербург и Ленинградская область
2251000,2260999,Кировская обл.
2261000,2277999,г. Санкт-Петербург и Ленинградская область
2278000,2286999,Удмуртская Республика
2287000,2291999,Калужская обл.
2292000,2299999,г. Санкт-Петербург и Ленинградская область
2300000,2301999,Костромская обл.
2302000,2302999,Свердловская обл.
2303000,2312999,Иркутская обл.
2313000,2329999,г. Санкт-Петербург и Ленинградская область
2330000,2343999,Ярославская обл.
2344000,2399999,г. Санкт-Петербург и Ленинградская область
2400000,2401999,Ивановская обл.
2402000,2416999,г. Санкт-Петербург и Ленинградская область
2417000,2427999,Республика Дагестан
2428000,2442999,г. Санкт-Петербург и Ленинградская область
2443000,2445999,Псковская обл.
2446000,2451999,Республика Саха /Якутия/
2452000,2455999,Республика Северная Осетия - Алания
2456000,2499999,г. Санкт-Петербург и Ленинградская область
2500000,2509999,Архангельская область и Ненецкий автономный округ
2510000,2514999,Иркутская обл.
2515000,2519999,Амурская обл.
2520000,2524999,Еврейская автономная обл.
2525000,2529999,Камчатский край
2530000,2546999,Иркутская обл.
2547000,2548999,Амурская обл.
2549000,2549999,Еврейская автономная обл.
2550000,2559999,Калининградская обл.
2560000,2579999,Ханты - Мансийский - Югра АО
2580000,2584999,Ямало-Ненецкий АО
2585000,2594999,Оренбургская обл.
