from,to,region
0,999999,г. Санкт-Петербург и Ленинградская область
1000000,1999999,г. Москва и Московская область
2000000,2499999,г. Москва и Московская область
2500000,4499999,г. Москва и Московская область
4500000,4549999,Астраханская обл.
4550000,4849999,Краснодарский край
4850000,4949999,Республика Дагестан
4950000,4999999,Республика Кабардино-Балкарская
5000000,5499999,Свердловская обл.
5500000,5799999,Пермский край
5800000,6299999,Республика Татарстан
6300000,6399999,Пензенская обл.
6400000,6699999,Республика Башкортостан
6700000,6729999,Амурская обл.
6730000,6759999,Хабаровский край
6760000,6769999,Республика Саха /Якутия/
6770000,6779999,Амурская обл.
6780000,6799999,Приморский край
6800000,6899999,Чувашская Республика
6900000,6929999,Оренбургская обл.
6930000,6999999,Ульяновская обл.
7000000,7099999,Калужская обл.
7100000,7149999,Рязанская обл.
7150000,7189999,Тамбовская обл.
7190000,7199999,Республика Башкортостан
7200000,7249999,Тверская обл.
7250000,7299999,Ярославская обл.
7300000,7309999,Ненецкий АО
7310000,7349999,Архангельская обл.
7350000,7459999,Вологодская обл.
7460000,7469999,Республика Башкортостан
7470000,7999999,г. Санкт-Петербург и Ленинградская область
8000000,8049999,Мурманская обл.
8050000,8099999,Новгородская обл.
8100000,8129999,Псковская обл.
8130000,8169999,г. Санкт-Петербург и Ленинградская область
8170000,8179999,Республика Карелия
8180000,8199999,г. Санкт-Петербург и Ленинградская область
8200000,8299999,Новосибирская обл.
8300000,8329999,Свердловская обл.
8330000,8349999,Ханты - Мансийский - Югра АО
8350000,8399999,Курганская обл.
8400000,8529999,Удмуртская Республика
8530000,8599999,Челябинская обл.
8600000,8649999,Республика Коми
8650000,8699999,Курганская обл.
8700000,8799999,Омская обл.
8800000,8899999,Саратовская обл.
8900000,9199999,Красноярский край
9200000,9499999,Республика Башкортостан
9500000,9699999,Республика Чеченская
9700000,9899999,Омская обл.
9900000,9929999,Новосибирская обл.
9930000,9989999,Республика Саха (Якутия)
9990000,9999999,Новосибирская обл.
