from,to,region
0,99999,Тюменская обл.
100000,199999,Челябинская обл.
200000,399999,Свердловская обл.
400000,499999,Тюменская обл.
500000,699999,Ямало-Ненецкий АО
700000,799999,Тюменская обл.
800000,899999,Республика Коми
900000,999999,Ямало-Ненецкий АО
1000000,2299999,Свердловская обл.
2300000,2399999,Челябинская обл.
2400000,2469999,Пермский край
2470000,2599999,Ханты - Мансийский - Югра АО
2600000,2699999,Тюменская обл.
2700000,2799999,Республика Коми
2800000,2899999,Ямало-Ненецкий АО
2900000,2999999,Свердловская обл.
3000000,3899999,Пермский край
3900000,3909999,Кировская обл.
3910000,3939999,Ханты - Мансийский - Югра АО
3940000,3999999,Тюменская обл.
4000000,4499999,Ханты - Мансийский - Югра АО
4500000,4699999,Ямало-Ненецкий АО
4700000,4899999,Тюменская обл.
4900000,4999999,Кировская обл.
5000000,5299999,Удмуртская Республика
5300000,5599999,Оренбургская обл.
5600000,5799999,Курганская обл.
5800000,5999999,Республика Коми
6000000,6199999,Свердловская обл.
6200000,6299999,Оренбургская обл.
6300000,6399999,Челябинская обл.
6400000,6499999,Пермский край
6500000,6599999,Ханты - Мансийский - Югра АО
6600000,6699999,Кировская обл.
6700000,6799999,Курганская обл.
6800000,6949999,Удмуртская Республика
6950000,7599999,Челябинская обл.
7600000,7999999,Ханты - Мансийский - Югра АО
8000000,8999999,Оренбургская обл.
9000000,9999999,Кировская обл.
