from,to,region
0,9999,Краснодарский край
1000000,1149999,Челябинская обл.
1150000,1299999,Удмуртская Республика
1300000,1349999,Тюменская обл.
1350000,1599999,Ханты - Мансийский - Югра АО
1600000,1799999,Ямало-Ненецкий АО
1800000,2299999,Ханты - Мансийский - Югра АО
2300000,2599999,Пермский край
2600000,2699999,Ямало-Ненецкий АО
2700000,3799999,Челябинская обл.
3800000,3949999,Кировская обл.
3950000,3999999,Курганская обл.
4000000,4099999,Ямало-Ненецкий АО
4100000,4199999,Ханты - Мансийский - Югра АО
4200000,4299999,Курганская обл.
4300000,4999999,Пермский край
5000000,5999999,Ханты - Мансийский - Югра АО
6000000,7699999,Свердловская обл.
7700000,7899999,Тюменская обл.
7900000,7999999,Удмуртская Республика
8000000,8099999,Курганская обл.
8100000,8149999,Кировская обл.
8150000,8399999,Удмуртская Республика
8400000,8579999,Свердловская обл.
8580000,8699999,Пермский край
8700000,8899999,Ханты - Мансийский - Югра АО
8900000,8999999,Челябинская обл.
9000000,9499999,Тюменская обл.
9500000,9599999,Республика Коми
9600000,9899999,Тюменская обл.
9900000,9999999,Удмуртская Республика
