from,to,region
0,49999,Брянская обл.
50000,69999,Калужская обл.
70000,89999,Костромская обл.
90000,129999,Рязанская обл.
130000,139999,Смоленская обл.
140000,199999,Тверская обл.
200000,279999,Ярославская обл.
280000,299999,Воронежская обл.
300000,369999,Липецкая обл.
370000,379999,Тамбовская обл.
380000,519999,Республика Башкортостан
520000,539999,Саратовская обл.
540000,569999,Астраханская обл.
570000,919999,Волгоградская обл.
920000,929999,Республика Тыва
930000,949999,Республика Хакасия
950000,989999,Томская обл.
990000,999999,Республика Мордовия
1000000,1089999,Брянская обл.
1090000,1099999,Воронежская обл.
1100000,1149999,Владимирская обл.
1150000,1199999,Ивановская обл.
1200000,1269999,Калужская обл.
1270000,1299999,Костромская обл.
1300000,1339999,Рязанская обл.
1340000,1399999,Смоленская обл.
1400000,1449999,Тверская обл.
1450000,1529999,Тульская обл.
1530000,1629999,Ярославская обл.
1630000,1669999,Белгородская обл.
1670000,1699999,Курская обл.
1700000,1799999,Белгородская обл.
1800000,1899999,Воронежская обл.
1900000,1999999,Курская обл.
2000000,2149999,Тюменская обл.
2150000,2299999,Новосибирская обл.
2300000,2429999,Алтайский край
2430000,2499999,Ивановская обл.
2500000,2599999,Владимирская обл.
2600000,2679999,Тульская обл.
2680000,3329999,Ростовская обл.
3330000,3379999,Республика Марий Эл
3380000,3489999,Чувашская Республика
3490000,3499999,Республика Башкортостан
3500000,3549999,Пензенская обл.
3550000,3729999,Республика Башкортостан
3730000,3799999,Республика Марий Эл
3800000,3939999,Самарская обл.
3940000,3999999,Республика Калмыкия
4000000,4399999,Ростовская обл.
4400000,4999999,Ставропольский край
5000000,5399999,Краснодарский край
5400000,5499999,Республика Калмыкия
5500000,5629999,Ямало-Ненецкий АО
5630000,5699999,Кировская обл.
5700000,5719999,Курганская обл.
5720000,5729999,Пермский край
5730000,5749999,Свердловская обл.
5750000,5799999,Челябинская обл.
5800000,5999999,Краснодарский край
6000000,6069999,Липецкая обл.
6070000,6129999,г. Санкт-Петербург и Ленинградская область
6130000,6179999,Воронежская обл.
6180000,6199999,Тамбовская обл.
6200000,6279999,Орловская обл.
6280000,6299999,Тамбовская обл.
6300000,6399999,Нижегородская обл.
6400000,6519999,Саратовская обл.
6520000,6559999,Астраханская обл.
6560000,6999999,Волгоградская обл.
7000000,7379999,Кемеровская обл.
7380000,7469999,Республика Хакасия
7470000,7489999,Кировская обл.
7490000,7539999,Курганская обл.
7540000,7599999,Пермский край
7600000,7609999,Республика Коми
7610000,7789999,Свердловская обл.
7790000,7829999,Тюменская обл.
7830000,7979999,Челябинская обл.
7980000,7999999,Астраханская обл.
8000000,8119999,г. Санкт-Петербург и Ленинградская область
8120000,8169999,Астраханская обл.
8170000,8179999,Ростовская обл.
8180000,8199999,Республика Адыгея
8200000,8259999,Республика Северная Осетия - Алания
8260000,8299999,Республика Адыгея
8300000,8319999,Ростовская обл.
8320000,8389999,Республика Дагестан
8400000,8449999,Республика Калмыкия
8450000,8489999,Новосибирская обл.
8490000,8499999,Омская обл.
8500000,8599999,Краснодарский край
8600000,8669999,Кемеровская обл.
8670000,8699999,Республика Саха (Якутия)
8700000,8799999,Новосибирская обл.
8800000,8849999,Омская обл.
8850000,8929999,Томская обл.
8930000,8939999,Республика Алтай
8940000,8949999,Республика Тыва
8950000,8999999,Республика Хакасия
9000000,9499999,Оренбургская обл.
9500000,9599999,Амурская обл.
9600000,9699999,Камчатский край
9700000,9719999,Республика Адыгея
9720000,9749999,Ярославская обл.
9750000,9759999,Астраханская обл.
9760000,9999999,Алтайский край
