from,to,region
0,9999,Кировская обл.
10000,109999,Курганская обл.
110000,209999,Пермский край
210000,259999,Республика Коми
260000,309999,Республика Удмуртская
310000,559999,Свердловская обл.
560000,619999,Тюменская обл.
620000,669999,Республика Удмуртская
670000,699999,Тюменская обл.
700000,729999,Ханты - Мансийский - Югра АО
730000,979999,Челябинская обл.
980000,1119999,Пензенская обл.
1120000,1149999,Саратовская обл.
1150000,1199999,Самарская обл.
1200000,1259999,Республика Татарстан
1260000,1279999,Республика Марий Эл
1280000,1299999,Ульяновская обл.
1300000,1389999,Республика Башкортостан
1390000,1399999,Республика Татарстан
1400000,1449999,Республика Башкортостан
1450000,1499999,Республика Мордовия
1500000,1529999,Ивановская обл.
1530000,1549999,Тверская обл.
1550000,1569999,Челябинская обл.
1570000,1589999,Республика Татарстан
1590000,1599999,Тамбовская обл.
1600000,1649999,Краснодарский край
1650000,1699999,Республика Кабардино-Балкарская
1700000,1719999,Республика Карачаево-Черкесская
1720000,1759999,Республика Ингушетия
1760000,1799999,Республика Северная Осетия - Алания
1800000,1929999,Красноярский край
1930000,1979999,Томская обл.
1980000,1999999,Республика Алтай
2000000,2009999,Архангельская обл.
2010000,2019999,Республика Хакасия
2020000,2099999,Республика Тыва
2100000,2139999,Брянская обл.
2140000,2169999,Ивановская обл.
2170000,2189999,Костромская обл.
2190000,2229999,Тверская обл.
2230000,2289999,Тульская обл.
2290000,2299999,Челябинская обл.
2300000,2339999,Нижегородская обл.
2340000,2349999,Ульяновская обл.
2350000,2389999,Республика Башкортостан
2390000,2399999,Республика Марий Эл
2400000,2409999,Новгородская обл.
2410000,2499999,г. Санкт-Петербург и Ленинградская область
2500000,2539999,Республика Тыва
2540000,2699999,Красноярский край
2700000,2759999,Свердловская обл.
2760000,2769999,Кировская обл.
2770000,2799999,Курганская обл.
2800000,2819999,Республика Кабардино-Балкарская
2820000,2889999,Республика Карачаево-Черкесская
2890000,2899999,Сахалинская обл.
2900000,2999999,Калининградская обл.
3000000,3299999,г. Санкт-Петербург и Ленинградская область
3300000,3349999,Новгородская обл.
3350000,3399999,Псковская обл.
3400000,3499999,г. Санкт-Петербург и Ленинградская область
3500000,3519999,Калининградская обл.
3520000,3579999,Вологодская обл.
3580000,3659999,Мурманская обл.
3660000,3699999,Новгородская обл.
3700000,3759999,Республика Дагестан
3760000,3789999,Республика Северная Осетия - Алания
3790000,3799999,Краснодарский край
3800000,3899999,Ставропольский край
3900000,3949999,Республика Кабардино-Балкарская
3950000,3979999,Республика Чеченская
3980000,3999999,Республика Ингушетия
4000000,4299999,Республика Дагестан
4300000,4349999,Кировская обл.
4350000,4399999,Курганская обл.
4400000,4499999,Свердловская обл.
4500000,4599999,Тюменская обл.
4600000,4799999,Челябинская обл.
4800000,4849999,Республика Удмуртская
4850000,4899999,Республика Коми
4900000,4959999,Ханты - Мансийский - Югра АО
4960000,4999999,Ямало-Ненецкий АО
5000000,5099999,Алтайский край
5100000,5149999,Республика Алтай
5150000,5169999,Приморский край
5170000,5399999,Алтайский край
5400000,5499999,Республика Удмуртская
5500000,5549999,Кировская обл.
5550000,5599999,Республика Коми
5620000,5689999,Хабаровский край
5700000,5799999,Алтайский край
5800000,5999999,Республика Чеченская
6000000,6999999,г. Москва и Московская область
7000000,7099999,Республика Чеченская
7100000,7139999,г. Москва и Московская область
7140000,7199999,г. Москва и Московская область
7200000,7299999,г. Москва и Московская область
7300000,7369999,Вологодская обл.
7370000,7389999,Калининградская обл.
7400000,7499999,Республика Карелия
7500000,7509999,г. Москва и Московская область
7510000,7599999,г. Москва и Московская область
7600000,7899999,г. Москва и Московская область
7900000,7999999,Республика Дагестан
8000000,8099999,Амурская обл.
8100000,8179999,Амурская обл.
8180000,8199999,Амурская обл.
8200000,8299999,Хабаровский край
8300000,8359999,Камчатский край
8360000,8399999,Приморский край
8400000,8419999,Хабаровский край
8420000,8499999,Амурская обл.
8500000,8579999,Свердловская обл.
8580000,8619999,Пермский край
8620000,8699999,Курганская обл.
8700000,8849999,Пермский край
8850000,8899999,Кировская обл.
8900000,9099999,Республика Башкортостан
9100000,9199999,Самарская обл.
9200000,9299999,г. Москва и Московская область
9300000,9309999,Костромская обл.
9310000,9399999,Тульская обл.
9400000,9419999,Приморский край
9420000,9499999,Новосибирская обл.
9500000,9529999,Красноярский край
9530000,9539999,Тюменская обл.
9540000,9549999,Республика Хакасия
9550000,9599999,Красноярский край
9600000,9799999,г. Москва и Московская область
9800000,9899999,Республика Чеченская
9900000,9999999,г. Москва и Московская область
