from,to,region
0,399999,г. Санкт-Петербург и Ленинградская область
400000,449999,Новгородская обл.
450000,499999,Вологодская обл.
500000,549999,Республика Карелия
550000,599999,Архангельская обл.
600000,649999,Мурманская обл.
650000,699999,Ненецкий АО
700000,749999,Калининградская обл.
750000,799999,Псковская обл.
800000,2999999,г. Санкт-Петербург и Ленинградская область
3000000,3499999,Мурманская обл.
3500000,3999999,Псковская обл.
4000000,4399999,Республика Карелия
4400000,4499999,Вологодская обл.
4500000,4999999,Калининградская обл.
5000000,5499999,Вологодская обл.
5500000,5999999,Архангельская обл.
6000000,6499999,Новгородская обл.
6500000,6549999,Ненецкий АО
6550000,6599999,Архангельская обл.
6600000,6699999,Республика Карелия
6700000,6899999,Архангельская обл.
6900000,6999999,Псковская обл.
7000000,7999999,г. Санкт-Петербург и Ленинградская область
8000000,8099999,Мурманская обл.
8100000,8499999,г. Санкт-Петербург и Ленинградская область
8500000,8699999,Калининградская обл.
8700000,8799999,Архангельская обл.
8800000,8999999,Псковская обл.
9000000,9999999,г. Санкт-Петербург и Ленинградская область
